_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
78,Recreation,Infrastructure,London,Community Place North,Planning,2023,Install an elevator at the Participation House Support Services' Community Place North location,Enhance the quality of the community's cultural and recreational infrastructure.,Middlesex,Southwest,Suite 101 620 Colborne Street,N6B3R9,,312500,Yes,Yes,Yes,,,42.98339,-81.230399
79,Recreation,Infrastructure,London,Glen Cairn Community Resource Centre,Planning,2023,"Replace the HVAC system, and install a new electrical panel.",Enhance the quality of the community's cultural and recreational infrastructure.,Middlesex,Southwest,244 Adelaide Street South,N5Z3L1,,158313,Yes,Yes,Yes,,,42.931,-81.4279
80,Recreation,Infrastructure,London,Stoney Creek YMCA Recreation Facility,Planning,Mar-25,Construct a second-floor addition and update the lighting system.,Enhance the quality of the community's cultural and recreational infrastructure.,Middlesex,Southwest,165 Elmwood Ave E,N6C0A8,,3404500,Yes,Yes,Yes,,,43.048598,-81.257678
81,Recreation,Infrastructure,London,Bob Hayward YMCA,Planning,Feb-27,"Upgrades to lighting and building mechanical systems and a larger, more accessible changeroom.",Enhance the quality of the community's cultural and recreational infrastructure.,Middlesex,Southwest,165 Elmwood Ave E,N6C0A8,,2003272,Yes,Yes,Yes,,,42.977128,-81.185675
82,Recreation,Infrastructure,London,Labatt Park,Planning,2023,"Install accessible washrooms, and replace bleachers and sports field lighting. "," Improved safety and accessibility of the stadium, and support for all levels of local non-profit baseball organizations and community events.",Middlesex,Southwest,City Hall  300 Dufferin Avenue,N6A4L9,,2035000,Yes,Yes,Yes,,,42.983097,-81.259349
83,Recreation,Infrastructure,London,Carling Heights Optimist Community Centre ,Planning,Mar-24,Repurpose space to create a teaching kitchen and install an elevator,Enhance the quality of the community's cultural and recreational infrastructure.,Middlesex,Southwest,City Hall  300 Dufferin Avenue,N6A4L9,,1870000,Yes,Yes,Yes,,,42.998198,-81.22885
84,Recreation,Infrastructure,Machin, Vermillion Bay Dock Access,Complete,Sep-21,"Upgrades to address drainage and erosion issues, level the area leading to the waterfront at Eagle Lake and repave  the road and parking area.  The upgrades will provide for better entry to Eagle Lake and easier access by emergency vehicles.", The upgrades will provide for better entry to Eagle Lake and easier access by emergency vehicles.,Kenora,Northwest,75 Spruce Avenue,P0V2V0,,218750,Yes,Yes,Yes,,,49.851653,-93.387076
85,Recreation,Infrastructure,Madoc,Moira Lake Trail Bridge,Complete,May-22,"The project includes the removal of the existing Timber Trestle bridge and replacement with a new Bailey style structure supported by new abutments and approaches on either side. Once completed, access will be restored for the more than 5,500 users of this recreational trail which connects multiple communities.",,Hastings,East,7 Furnace Street/Rue,K0K2K0,,862150,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60961/canada-and-ontario-invest-in-more-accessible-recreation-and-transit-infrastructure-in-the-counties-o-3,44.478586|44.478157,-77.468862|-77.468683
86,Recreation,Infrastructure,Markham,Community Centre Expansion,Planning,2023,Expand the space and create new facilities.,Improved accessibility to the facility.,York,Central,344 JOHN ST,L3T5W6,,4983000,Yes,Yes,Yes,,,43.82105,-79.39323
87,Recreation,Infrastructure,Marmora and Lake,Upgrades to Legion Park Softball Diamond,Planning,Jul-23,"Upgrades to the Legion Park Softball diamond include replacing the existing halogen stadium lights with brighter, energy efficient LED lights. A new electrical panel with a timed lighting system will improve public safety and encourage more use of the facility in the evenings. Backstop fencing behind and above home plate will be removed and replaced, ensuring continued public safety during sporting events.",,Hastings,East,12 Bursthall Street/Rue,K0K2M0,,40142,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60961/canada-and-ontario-invest-in-more-accessible-recreation-and-transit-infrastructure-in-the-counties-o-4,44.48193,-77.683797
88,Recreation,Infrastructure,McNab-Braeside,McNab Centre Park Building Replacement,Planning,Dec-23,"This project will replace an aged, non-accessible building to better support programming at four baseball diamonds in Arnprior. Work includes reconstructing the building to accommodate more washrooms, a tournament room, storage space for landscaping equipment, and a canteen. The project will result in greater access to accessible community and recreation infrastructure, to better accommodate increased demand in the area.",,Renfrew,East,2473 Russett Drive,K7S3G8,,282500,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000657/canada-and-ontario-invest-over-2-million-in-improved-community-culture-and-recreational-infrastructure-in-eastern-ontario,45.430259,-76.533706
89,Recreation,Infrastructure,Milton,Improvements to the café and meeting room facilities at the Community Living North Halton building,Complete,Jan-22,"The upgrades include replacement of existing carpet with vinyl flooring, adding new light fixtures, updating washrooms, expanding the café meeting area, and repainting meeting spaces. These upgrades will improve the access and quality of the community infrastructure by enabling the organization to offer more space for programming and meetings in this facility.",,Halton,Central,Suite B 917 Nipissing Road,L9T5E3,,69750,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61012/canada-and-ontario-invest-in-improved-community-and-recreational-infrastructure-for-milton-residents,43.52454,-79.86318
90,Recreation,Infrastructure,Milton,Rehabilitation and expansion of the Crawford Lake Boardwalk,Planning,Aug-25,"These upgrades to the recreational path will include the installation of helical piles for boardwalk support and new decking and guardrails, and the refurbishment of rest stops, viewing areas and educational signage. These improvements will extend the boardwalk's lifespan and offer an improved visitor experience, while also meeting accessibility requirements.",,Halton,Central,2596 Britannia Line Road,L7P0G3,,2280000,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61012/canada-and-ontario-invest-in-improved-community-and-recreational-infrastructure-for-milton-residents,43.46858,-79.9488
91,Recreation,Infrastructure,Milton,John Tonelli Sports Centre,Planning,Oct-26,"Upgrade and rehabilitate the facility, including the replacement of 8,000 square feet of flooring; the replacement of wooden spectator benches; and repaving of the parking lot.",Improved safety and durability of the arena's infrastructure.,Halton,Central,150 Mary Street/Rue,L9T6Z5,,1396638,Yes,Yes,Yes,,,43.5039,-79.8718
92,Recreation,Infrastructure,Minden Hills,Kinark Outdoor Centre Rehabilitation – CCRIS,Planning,Aug-24,"Project scope includes constructing an additional respite dorm; and improving the safety and accessibility of indoor and outdoor spaces like trails, waterfront areas, and classrooms. Other improvements will extend the service life of the dining hall and laundry facilities and provide winterization and accessibility to sleeping cabins. The project will increase the seasonal capacity of the facility and provide greater access to preventative respite for children with an Autism Spectrum Disorder.",,Haliburton,East,Suite 200 500 Hood Road,L3R9Z3,,1488300,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.9,-78.7
93,Recreation,Infrastructure,Minto,Renovation and Expansion of a Recreation Facility and its Grounds,Planning,Aug-23,"The project will renovate existing and add new dressing rooms, upgrade lighting at a baseball field, and construct a third baseball diamond with backstop fencing. The upgrades will improve the access, safety and quality of recreational infrastructure.",,Wellington,Southwest,5941 Highway 89 Highway,N0G1Z0,,2415000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.49365,-80.50576
94,Recreation,Infrastructure,Mono,Construction of Two Additional Tennis Courts and Related Infrastructure at Mono Tennis Club in Mono Centre,Planning,Oct-23,"The project will construct two accessible tennis courts with fencing and lighting as well as accessible washrooms and a new parking area. The upgrades will improve accessibility and the user experience, and support the expansion of tennis programs.",,Dufferin,Central,347209 Mono Centre Road,L9W6S3,,517000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.0263,-80.0718
95,Recreation,Infrastructure,Moonbeam,Moonbeam Community Hub,Planning,Nov-23,"Construction and rehabilitation work to create a community hub. This involves the installation of a pavilion/roof on the outdoor skating rink, new skating rink boards, the installation of bleachers and new lights, the rehabilitation of the tennis court and the resurfacing of 6 kilometres of paved natura trails with asphalt.",,Cochrane,Northeast,53 St. Aubin Avenue,P0L1V0,,1199450,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,49.35,-82.15
96,Recreation,Infrastructure,Neskantaga First Nation,Neskantaga Community Recreation Centre,Planning,Nov-23,"Adding insulation and new change rooms, and create an accessible gym. ","The project will improve the quality and safety of the community centre, and provide a space where residents of all ages and abilities can participate in recreational and social activities.",,Northwest,Neskantaga Reserve #239,,,2990375,Yes,Yes,Yes,,,52.199556,-88.021971
97,Recreation,Infrastructure,New Tecumseth,Construction of a Multi-Use Accessible Pedestrian Trail along Boyne River in Community of Alliston,Planning,2022,"The project will construct a 350 metre multi-use and accessible pedestrian trail, which will include a new asphalt path, rest areas, benches, signage, lighting and landscaping. The path will improve  accessibility and facilitate active transportation by connecting downtown to amenities at Riverdale Park.  ",,Simcoe,Central,10 Wellington Street/Rue East/Est,L9R1A1,,400004,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.1548,-79.8761
98,Recreation,Infrastructure,New Tecumseth,Improvements to Riverdale Park in Alliston,Planning,2023,"The project will  design and construct a new pavilion, and install shade features at the splash pad area, two playground structures and a rubberized surface at Rotary Park. The upgrades will offer improved and increased opportunities for inclusive play.",,Simcoe,Central,10 Wellington Street/Rue East/Est,L9R1A1,,1323300,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.1552,-79.8781
99,Recreation,Infrastructure,Nipigon,"Nipigon Recreation Swimming Pool, Nipigon Community Centre Heating and Ventilation System",Complete,Dec-21,"Replacement and upgrades to the Nipigon Swimming Pool mechanical systems, upgrades to the heating systems at the Nipigon Community Centre, and the installation of a new kitchen ventilation system at the community centre. This will improve energy efficiency at both facilities and will improve the user experience.",,Thunder Bay,Northwest,52 Front Street/Rue,P0T2J0,,467500,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000516/canada-and-ontario-invest-over-66-million-in-six-recreation-infrastructure-projects-in-the-provinces-northwest-region,49.0098,-88.2675
100,Recreation,Infrastructure,Norfolk County,Dressing Rooms Expansion/Enhancement Project,Planning,Dec-25,"Updates to the existing facilities to meet Hockey Canada’s new guideline requirements to improve hockey player development, dressing rooms will be upgraded to make them fully accessible, with the addition of gender-neutral change rooms. Delhi, Langton, Port Dover and Waterford arenas will be upgraded.",,Haldimand-Norfolk,Southwest,50 COLBORNE ST S,N3Y4H3,,3300000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.83568,-80.3066
101,Recreation,Infrastructure,Norfolk County,AODA Shelving for Libraries,Planning,Dec-24,"Rehabilitation work to address and enhance the functionality of shelves in Library branches. This will include redesigning the shelving layout and purchase of shelves that meet requirements under the Accessibility for Ontarians with Disabilities Act. Three branches are involved; Waterford, Port Rowan and Simcoe.",,Haldimand-Norfolk,Southwest,46 Colborne Street South,N3Y4H3,,378000,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.8126,-80.3091
102,Recreation,Infrastructure,Norfolk County,Lighthouse Festival Theatre Greenroom Quality Improvement,Complete,Apr-22,"Improvements will involve engaging with the Six Nations of The Grand River community on designing and consulting on potential public art elements, finalize a greenroom design, remove and replace existing doors, walls, and ceiling, install new plumbing and washroom fixtures, and reconfiguring the backstage to accommodate two new gender-neutral washrooms.",,Haldimand-Norfolk,Southwest,247 Main St,N0A1N0,,213510,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.786522,-80.203278
103,Recreation,Infrastructure,North Bay,"District 11, Near North Trail Association Snowmobile Trail Improvements",Complete,Nov-21,"The project will replace two bridges and upgrade three more, install new railings, 14 culverts, and includes the purchase of new equipment to maintain remote sections of trails.","This work will improve the safety and the user experience for snowmobilers along District 11's 1,900 kilometre trail system, and further support the Ontario Federation of Snowmobile Clubs.",Nipissing,Northeast,10F - 176 Lakeshore Drive,P1A2A8,,328507,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61239/canada-and-ontario-invest-in-improved-community-and-recreational-infrastructure-in-north-bay-callander-and-powassan,46.332207,-79.173314
104,Recreation,Infrastructure,North Dumfries,Schmidt Park,Planning,2023,Installation of three tennis courts with overhead lighting,Create more modern and accessible outdoor recreation options for residents and future visitors.,Waterloo,Southwest,2958 Greenfield Road,N0B1E0,,378705,Yes,Yes,Yes,,,43.28509,-80.438951
105,Recreation,Infrastructure,North Dumfries,Victoria and Schmidt Parks,Planning,2022,Ball diamond field and lighting upgrades,Create more modern and accessible outdoor recreation options for residents and future visitors.,Waterloo,Southwest,2958 Greenfield Road,N0B1E0,,663728,Yes,Yes,Yes,,,43.282778,-80.457315
106,Recreation,Infrastructure,North Dumfries,"Victoria, Cowan and Schmidt Parks",Planning,2023,Washrooms rehabilitation to make them more accessible.,Create more modern and accessible outdoor recreation options for residents and future visitors.,Waterloo,Southwest,2958 Greenfield Road,N0B1E0,,270400,Yes,Yes,Yes,,,43.282778,-80.457315
107,Recreation,Infrastructure,North Dundas,Development of Hallville Community Park – CCRIS,Planning,Oct-26,"The project will develop vacant municipal land into a multi-purpose park. Work will include drainage and elevation of low-lying areas, electrification, and drilling of a well. In addition, accessible swings and picnic tables, lighted bike and pedestrian paths will be installed along with a parking lot, baseball diamond, soccer field and an outdoor rink with washrooms. The adjacent roadway will also be widened with delineators placed to encourage active transportation, and trees planted throughout the park. The new park will provide residents with an accessible and modern community and recreational space to enjoy for years to come.",,"Stormont, Dundas and Glengarry",East,636 St. Lawrence Street,K0C2K0,,2728691,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,45.0343,-75.3106
108,Recreation,Infrastructure,North Glengarry,Refurbishment of the Glengarry Sports Palace – CCRIS,Planning,2022,"The refurbishment of the Glengarry Sports Palace includes the replacement of a concrete arena slab, rink boards and glass, windows and doors, lighting and a boiler while the spectator seating area and ventilation, plumbing, and electrical systems will also be improved. Other updates involve fire safety upgrades and the addition of a gender inclusive bathroom and players’ rooms. The refurbishment will create a safer and more accessible place for players and spectators and provide residents with a modern sports centre where residents can stay fit and healthy for years to come.",,"Stormont, Dundas and Glengarry",East,90 Main Street/Rue South/Sud,K0C1A0,,2158875,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,45.312806,-74.644867
109,Recreation,Infrastructure,North Huron,Rehabilitation of the North Huron Wescast Community Complex (NHWCC),Planning,Dec-23,"The project will replace the pool dehumidifier, lower roof, and insulation in interior walls, and remove barriers to showers in the changerooms and dressing rooms. In addition, the sound system will be replaced while baffling in the hall, basketball hoops, and an indoor walking surface will be installed. The upgrades will improve accessibility and use of the facility while increasing energy efficiency and managing humidity levels.",,Huron,Southwest,274 Josephine Street/Rue,N0G2W0,,839475,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.88043,-81.31367
110,Recreation,Infrastructure,Northern Bruce Peninsula,Improvement to Lion's Head Community Centre and Arena,Planning,2023,"The project will expand and rehabilitate the community centre and arena by adding six, barrier-free dressing rooms, a multi-purpose room, new library space, and by rehabilitating and adding new  washrooms to address accessibility. The changes will improve community access and functionality, and encourage healthy lifestyles.  ",,Bruce,Southwest,56 Lindsay Road,N0H1W0,,4939546,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.58553,-81.15127
111,Recreation,Infrastructure,Norwich,Roof Replacement Norwich Community Centre/Arena,Complete,Dec-21,Replacement of the existing steel roof of the Norwich community centre and arena. This will include the stripping and disposal of the current steel roof structure and the construction and installation of a new standing seam steel roof finished with a combination steel and single ply membrane.,,Oxford,Southwest,285767 Airport Road,N0J1P0,,660000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.98679,-80.602925
112,Recreation,Infrastructure,Oliver Paipoonge,Norwest Arena,Planning,2022,Repair the roof; replace the overhead door and window sealants; and repair the cooling and the heating floor brine pump. ,Improved performance and longer lifespan for the facility.,Thunder Bay,Northwest,3250 HIGHWAY 130,P7K0B1,,85408,Yes,Yes,Yes,,,48.3777,-89.5677
113,Recreation,Infrastructure,Oliver Paipoonge,Rosslyn Community Centre,Planning,2023,Rroof and exterior repairs and replacement of the HVAC unit,Improved ability to serve the community. ,Thunder Bay,Northwest,3250 HIGHWAY 130,P7K0B1,,48125,Yes,Yes,Yes,,,48.3644,-89.4428
114,Recreation,Infrastructure,Oliver Paipoonge,Accessible Customer Service Desks,Complete,Sep-22,Replace the fire alarm control panel and install accessible customer service counters. ,Improved ability to serve the community. ,Thunder Bay,Northwest,1 Baxendale Road,p0t2g0,,8548,Yes,Yes,Yes,,,48.4119,-89.5025
115,Recreation,Infrastructure,Oliver Paipoonge,Murillo Hall,Planning,2023,Build accessible customer service desks,Better accessibility for customers,Thunder Bay,Northwest,3250 HIGHWAY 130,P7K0B1,,31500,Yes,Yes,Yes,,,48.4117,-89.5023
116,Recreation,Infrastructure,Ontario,Eastern Ontario Trails Alliance - Trail Network Revitalization,Planning,Mar-26,"The rehabilitation and repair of 21 bridge structures along the Hastings Heritage Trail and reconditioning of various sections of the 550-kilometre trail network. Reconditioning of the trails will include resurfacing, and grading modifications. Structure repairs will include the rehabilitation of various bridge decks and pedestrian barriers.",,Ontario,TBD,255 Metcalf Street,K0K3J0,,3105000,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60961/canada-and-ontario-invest-in-more-accessible-recreation-and-transit-infrastructure-in-the-counties-o-6,,
117,Recreation,Infrastructure,Opasatika,Opasatika Community Hub Renovation Project,Planning,2022,"Renovation of the hub will include demolishing the existing playground structure and replacing it with a new one, installing a new accessibility lift, updating and preparing landscaping, and installing safe exercise flooring. Work will benefit all community residents, notably, under-served segments of the community.",,Cochrane,Northeast,50 Government Road,P0L1Z0,,132312,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,49.52884,-82.86252
118,Recreation,Infrastructure,Orillia,Sound Masking Project,Complete,Aug-21,"The project will install a sound masking system at the Orillia Public Library. The changes will reduce noise levels in the library's quiet zone to allow for research and study, and increase the accessibility of the space to more users.",,Simcoe,Central,36 Mississauga Street West,L3V3A6,,24625,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.60805,-79.42075
119,Recreation,Infrastructure,Ottawa,Optimiste Park - Genest Outdoor Pool Replacement,Planning,Jun-24,"Modernizing the 57-year-old pool facility will include expanding the pool basin, installing a new pool deck and fencing, and improving underground infrastructure and operating systems. Funding will also support the addition of lifeguard stations, a chemical storage area, increased shaded areas, and accessible change-rooms, pool, and pathways.This project will support increased recreational programming in the community, a safe and modern facility.",,Ottawa,East,110 Laurier Ave W,K1P1J1,,3666500,,Yes,Yes,,https://www.news.ontario.ca/en/release/60988/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.442304,-75.669262
120,Recreation,Infrastructure,Ottawa,Renovations at the Vanier Francophone Center,Planning,2022,"The scope of work includes creating a new, multi-purpose space to replace the existing bowling room. Bowling lanes, seats and machinery will be removed, and windows and two additional exists will be installed. These renovations will allow the centre to provide more diverse and accessible services and community programming to area residents.",,Ottawa,East,290 DUPUIS ST,K1L1A2,,876541,,Yes,Yes,,https://www.news.ontario.ca/en/release/60988/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.436765,-75.661961
121,Recreation,Infrastructure,Ottawa,Youville Centre Roof & HVAC Project,Planning,Oct-23,"This project will replace the facility's roof, upgrade the HVAC system, and improve thermal efficiency. These enhancements will provide a more comfortable environment for clients and staff, while improving energy efficiency, and reducing operating costs.",,Ottawa,East,150 MANN AVE,K1N8P4,,1309465,,Yes,Yes,,https://www.news.ontario.ca/en/release/60988/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.4217,-75.66917
122,Recreation,Infrastructure,Ottawa,Construction of an outdoor wood pavilion,Planning,Dec-23,"The project involves the construction of an outdoor wood pavilion, adjacent to the Trend-Arlington Community Centre. The project will use wood milled from the community's fallen trees, collected after the September 21, 2018 tornado.This project will enhance community living through increased access to new recreation and outdoor event spaces, strengthening community connections, and providing more opportunities for residents to get outside and be active. This project will also memorialize the day of the tornado, and the community's resilience and strength in rebuilding what was lost.",,Ottawa,East,37 Parkland Crescent,K2H5V3,,255341,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61026/canada-and-ontario-invest-in-a-community-pavilion-in-ottawa,45.327582,-75.783278
123,Recreation,Infrastructure,Ottawa,Renovation and Expansion of the Kanata Recreation Centre in Ottawa,Planning,Jul-23,"The project will renovate and expand the Kanata Recreation Centre and splash pad by adding new meeting and program rooms, updating the interior, installing an emergency exit stairwell to increase program capacity, upgrading the facility's lobby by adding a customer service centre and vestibule, and improving and enlarging the nearby splash pad at Walter Baker Park. Once completed, the updated Kanata Recreation Centre will provide better access to quality cultural, community and recreational spaces, and offer residents and families a safer, more enjoyable place to gather.",,Ottawa,East,110 Laurier Ave W,K1P1J1,,4500000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61064/canada-and-ontario-invest-in-the-renovation-and-expansion-of-the-kanata-recreation-centre-in-ottawa,45.294266,-75.901646
124,Recreation,Infrastructure,Ottawa,Centennial Park Enhancement Project,Planning,2022,"The project will rehabilitate and expand venues at Centennial Park. The work includes constructing a new skateboard park, replacing the boards on the outdoor rink, building two basketball courts, improving landscaping and signage, and increasing accessibility by upgrading the park furniture.",,Ottawa,East,5434 North Riverside Dr.,K4M1H2,,696000,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.221636,-75.68584
125,Recreation,Infrastructure,Ottawa,Playground 1 Renewal,Planning,Jun-26,"The project will replace non-accessible and end-of-life playground equipment at 29 locations across Ottawa. The project includes the addition of new accessible benches, swings, play structures and adjacent pathways.",,Ottawa,East,110 Laurier Ave W,K1P1J1,,4998360,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.41117,-75.69812
126,Recreation,Infrastructure,Ottawa,Diefenbunker: Canada's Cold War Museum and National Historic Site,Planning,2022,"The renovations will improve ventilation, plumbing, electrical and mechanical systems while  modernizing the 60-year-old washrooms and elevator to meet accessibility standards.",These important upgrades will create good jobs during construction and also ensure that the facility continues to accommodate a diverse audience attendance,Ottawa,East,3929 Carp Rd,K0A1L0,,1492150,Yes,Yes,Yes,,,45.351682,-76.047761
127,Recreation,Infrastructure,Ottawa,Snowmobile Rail Bridge,Complete,Mar-22,Rehabilitation of interprovincial rail bridge for snowmobile use.,,Ottawa,East,3045 Kinburn Side Road,K0A2H0,,426300,Yes,Yes,Yes,,,45.464378,-76.285485
128,Recreation,Infrastructure,Ottawa,New Clubhouse for BGC Ottawa,Planning,2023,"The project includes the construction of a new clubhouse that will serve as a youth services and community interest facility. The new facility will offer better protection against COVID-19 and other viruses by including isolation rooms with direct access to outdoor space to avoid exposure, eight single stall gender inclusive bathrooms, additional hand washing stations, built-in separation for large spaces like the gym, multiple entrance and exit points, and two separate kitchens for cohort and community use. The new construction will result in energy efficiencies and cost savings as well as better, high-quality air exchange on the premises.","This clubhouse will serve one of Ottawa’s most at-risk communities, Ottawa South, and will increase building capacity by allowing more space for social distancing and other COVID-19 precautions. This project will provide more youth the opportunity to receive the support they need in a safe and protected environment for years to come.",Ottawa,East,110 Laurier Ave W,K1P1J1,,5000000,,Yes,Yes,,https://www.news.ontario.ca/en/release/1000333/canada-and-ontario-invest-5m-in-new-clubhouse-for-bgc-ottawa,45.37662,-75.64365
129,Recreation,Infrastructure,Parry Sound,Regional Community Centres in Partnership with Parry Sound and Huron East,Planning,Dec-25,"The conceptual design of this new facility features a 25-metre, multi-lane lap pool, and a warm water therapy/leisure pool. It will also include a gym, a fitness and conditioning centre and studio, an indoor walking track, various multi-purpose rooms, space for Indigenous programming, and inclusive change rooms. Once complete, residents of the West Parry Sound area will have better access to a modern and inclusive recreational facility.",,Parry Sound,Northeast,52 Seguin St,P2A1B4,,31900768,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000278/canada-and-ontario-invest-over-26-million-to-support-regional-community-centres-in-partnership-with-parry-sound-and-huron-east,45.3674,-80.0434
130,Recreation,Infrastructure,Pelham,Rehabilitate Marlene Stewart Streit Park,Planning,Dec-27,"The rehabilitation of Marlene Stewart Streit Park includes upgrades to the existing electrical systems and pool house, replacement of the outdoor pool, a new splash pad and picnic pavilion, and accessibility upgrades to the pool and playground.",,Niagara,Central,20 Pelham Town Square,L0S1E0,,3193750,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000660/canada-and-ontario-invest-over-44-million-in-four-recreation-infrastructure-projects-in-the-niagara-region,43.04546807,-79.28798908
131,Recreation,Infrastructure,Penetanguishene,Renovation of the Kitchen in the Community Centre at 36 Main Street in Penetanguishene,Complete,Jan-22,"The project will install accessible counters, cabinets, and work surfaces, which will include plumbing, electrical and painting work. The renovation will improve the accessibility and quality of the community kitchen.",,Simcoe,Central,63 Main Rue,L9M2G3,,66154,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.769929,-79.934408
132,Recreation,Infrastructure,Perth East,PERC Park Pavilion & Trail,Complete,Aug-22,"Creation of a community gathering place which includes the design of a 50’ x 80’ pavilion, a building with universal accessible washroom, storage room, kitchenette, interior and exterior lighting will be added, and the existing trail extended",,Perth,Southwest,25 Mill Street,N0K1M0,,435960,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,43.562369,-80.928344
133,Recreation,Infrastructure,Perth South,Downie Optimist Hall Renovations,Complete,Aug-22,"Renovations will involve removing carpeted walls, repairing ceilings and walls, replacing the kitchen, adding gender neutral and accessible washrooms, installing new lighting, and expanding the parking lot to include accessible spots.",,Perth,Southwest,3191 Road 122 Road,N0K1V0,,274228,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,43.316363,-81.05776
134,Recreation,Infrastructure,Peterborough,Enhancing Accessibility and Safety at the Mount Community Centre,Planning,Dec-25,"The project will upgrade the community centre by installing an elevator and upgrading washrooms to improve accessibility. Other work will include replacing sanitary lines, upgrading storm water management and creating additional parking spaces. The project will allow more community residents to access recreational activities.",,Peterborough,East,1545 Monaghan Road,K9J5N3,,2115713,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61090/en-nr-pete,44.30685,-78.34142
135,Recreation,Infrastructure,Plympton-Wyoming,Camlachie Community Centre/Camlachie Library/Plympton-Wyoming Museum Improvements,Complete,Mar-22,"Improvements involve upgrades to the washrooms including installing an access ramp, replacing the existing roof on the Camlachie Community Centre, installing and expanding an accessible parking area and walkways for the Library and Museum building. Overall accessibility to the building will be improved.",,Lambton,Southwest,546 Niagara Street,N0N1T0,,357270,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.9498,-82.1195
